arrival_time,num_entities,entity_paths,p_levels,priorities
1924,14,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1937,13,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1950,16,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1963,16,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1976,11,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1989,21,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2015,9,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10]"
2028,2,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1]","[10, 10]"
2041,9,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10]"
2054,14,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
