arrival_time,num_entities,entity_paths,p_levels,priorities
9600.5,1,['Path:Tanzanite - Group 24'],[1],[10]
9886.5,1,['Path:Tanzanite - Group 25'],[1],[10]
9886.5,1,['Path:Tanzanite - Group 26'],[1],[10]
10146.5,1,['Path:Tanzanite - Group 27'],[1],[10]
10146.5,1,['Path:Tanzanite - Group 28'],[1],[10]
10341.5,1,['Path:Sapphire - F1'],[1],[10]
10432.5,1,['Path:Tanzanite - Group 29'],[1],[10]
10432.5,1,['Path:Tanzanite - Group 30'],[1],[10]
10562.5,1,['Path:Tanzanite - Group 31'],[1],[10]
10770.5,1,['Path:Tanzanite - Group 32'],[1],[10]
10900.5,1,['Path:Sapphire - F2'],[1],[10]
11043.5,1,['Path:Tanzanite - Group 33'],[1],[10]
11043.5,1,['Path:Tanzanite - Group 34'],[1],[10]
11342.5,1,['Path:Tanzanite - Group 35'],[1],[10]
11342.5,1,['Path:Tanzanite - Group 36'],[1],[10]
11602.5,1,['Path:Tanzanite - Group 37'],[1],[10]
11602.5,1,['Path:Tanzanite - Group 38'],[1],[10]
11719.5,1,['Path:Tanzanite - Group 39'],[1],[10]
11719.5,1,['Path:Tanzanite - Group 40'],[1],[10]
12018.5,1,['Path:Tanzanite - Group 41'],[1],[10]
12018.5,1,['Path:Tanzanite - Group 42'],[1],[10]
12083.5,1,['Path:Sapphire - F3'],[1],[10]
