EntityID,ProductOrPath,Processor,StartHour,EndHour
995,Sapphire,MAC,1536.0,1536.0
995,Sapphire,LastTouchups,1536.0,1536.0
995,Sapphire,Cure Times.ShipCureDate,1536.0,744.0
996,Sapphire,Fit-Check,456.0,288.0
996,Sapphire,Bonded,336.0,336.0
996,Sapphire,Vacuum,336.0,360.0
996,Sapphire,Post Bond Clean,360.0,576.0
996,Sapphire,Clean & Classify,408.0,696.0
996,Sapphire,MAC,1536.0,1560.0
996,Sapphire,LastTouchups,1560.0,1536.0
996,Sapphire,Cure Times.ShipCureDate,1536.0,1704.0
997,Sapphire,Fit-Check,456.0,288.0
997,Sapphire,Bonded,336.0,336.0
997,Sapphire,Vacuum,336.0,360.0
997,Sapphire,Post Bond Clean,360.0,384.0
997,Sapphire,Clean & Classify,408.0,624.0
997,Sapphire,MAC,1560.0,1560.0
997,Sapphire,LastTouchups,1560.0,1560.0
997,Sapphire,Cure Times.ShipCureDate,1560.0,792.0
998,Sapphire,Fit-Check,456.0,288.0
998,Sapphire,Bonded,336.0,360.0
998,Sapphire,Vacuum,360.0,408.0
998,Sapphire,Post Bond Clean,408.0,480.0
998,Sapphire,Clean & Classify,456.0,624.0
998,Sapphire,MAC,1584.0,1584.0
998,Sapphire,LastTouchups,1584.0,1584.0
998,Sapphire,Cure Times.ShipCureDate,1584.0,1992.0
999,Sapphire,Fit-Check,456.0,312.0
999,Sapphire,Bonded,336.0,360.0
999,Sapphire,Vacuum,360.0,408.0
999,Sapphire,Post Bond Clean,408.0,408.0
999,Sapphire,Pre-CICRW,1512.0,1536.0
999,Sapphire,Frontside Overcoating,1536.0,456.0
999,Sapphire,Clean & Classify,456.0,696.0
999,Sapphire,MAC,1656.0,1704.0
999,Sapphire,LastTouchups,1704.0,1704.0
999,Sapphire,Cure Times.ShipCureDate,1704.0,1848.0
1000,Sapphire,Fit-Check,456.0,312.0
1000,Sapphire,Bonded,336.0,360.0
1000,Sapphire,Vacuum,360.0,408.0
1000,Sapphire,Post Bond Clean,408.0,408.0
1000,Sapphire,Pre-CICRW,1464.0,1512.0
1000,Sapphire,Frontside Overcoating,1512.0,456.0
1000,Sapphire,Clean & Classify,456.0,696.0
1000,Sapphire,MAC,1632.0,1656.0
1000,Sapphire,LastTouchups,1656.0,1656.0
1000,Sapphire,Cure Times.ShipCureDate,1656.0,1824.0
1001,Sapphire,Fit-Check,336.0,336.0
1001,Sapphire,Bonded,384.0,384.0
1001,Sapphire,Vacuum,384.0,408.0
1001,Sapphire,Post Bond Clean,408.0,408.0
1001,Sapphire,Clean & Classify,528.0,624.0
1001,Sapphire,MAC,1560.0,1584.0
1001,Sapphire,LastTouchups,1584.0,1560.0
1001,Sapphire,Cure Times.ShipCureDate,1560.0,1992.0
1002,Sapphire,Fit-Check,336.0,336.0
1002,Sapphire,Bonded,384.0,384.0
1002,Sapphire,Vacuum,384.0,408.0
1002,Sapphire,Post Bond Clean,408.0,408.0
1002,Sapphire,Clean & Classify,528.0,624.0
1002,Sapphire,MAC,1584.0,1584.0
1002,Sapphire,LastTouchups,1584.0,1584.0
1002,Sapphire,Cure Times.ShipCureDate,1584.0,1752.0
1003,Sapphire,Fit-Check,456.0,336.0
1003,Sapphire,Bonded,384.0,384.0
1003,Sapphire,Vacuum,384.0,408.0
1003,Sapphire,Post Bond Clean,408.0,408.0
1003,Sapphire,Clean & Classify,528.0,648.0
1003,Sapphire,MAC,1560.0,1560.0
1003,Sapphire,LastTouchups,1560.0,1680.0
1003,Sapphire,Cure Times.ShipCureDate,1680.0,816.0
1004,Sapphire,Fit-Check,360.0,360.0
1004,Sapphire,Bonded,384.0,408.0
1004,Sapphire,Vacuum,408.0,432.0
1004,Sapphire,Post Bond Clean,432.0,456.0
1004,Sapphire,Clean & Classify,528.0,648.0
1004,Sapphire,MAC,1560.0,1560.0
1004,Sapphire,LastTouchups,1560.0,1560.0
1004,Sapphire,Cure Times.ShipCureDate,1560.0,1728.0
1005,Sapphire,Fit-Check,360.0,360.0
1005,Sapphire,Bonded,384.0,408.0
1005,Sapphire,Vacuum,408.0,432.0
1005,Sapphire,Post Bond Clean,432.0,456.0
1005,Sapphire,Clean & Classify,504.0,648.0
1005,Sapphire,MAC,1560.0,1584.0
1005,Sapphire,LastTouchups,1584.0,1584.0
1005,Sapphire,Cure Times.ShipCureDate,1584.0,1752.0
1006,Sapphire,Fit-Check,360.0,360.0
1006,Sapphire,Bonded,384.0,408.0
1006,Sapphire,Vacuum,408.0,432.0
1006,Sapphire,Post Bond Clean,432.0,456.0
1006,Sapphire,Clean & Classify,504.0,648.0
1006,Sapphire,MAC,1560.0,1584.0
1006,Sapphire,LastTouchups,1584.0,1584.0
1006,Sapphire,Cure Times.ShipCureDate,1584.0,1752.0
1007,Sapphire,Fit-Check,384.0,384.0
1007,Sapphire,Bonded,408.0,456.0
1007,Sapphire,Vacuum,456.0,480.0
1007,Sapphire,Post Bond Clean,480.0,480.0
1007,Sapphire,Pre-CICRW,1488.0,1512.0
1007,Sapphire,Frontside Overcoating,1512.0,504.0
1007,Sapphire,Clean & Classify,504.0,696.0
1007,Sapphire,MAC,1632.0,1632.0
1007,Sapphire,LastTouchups,1632.0,1632.0
1007,Sapphire,Cure Times.ShipCureDate,1632.0,1800.0
1008,Sapphire,Fit-Check,384.0,384.0
1008,Sapphire,Bonded,456.0,456.0
1008,Sapphire,Vacuum,456.0,480.0
1008,Sapphire,Post Bond Clean,480.0,480.0
1008,Sapphire,Pre-CICRW,1464.0,1512.0
1008,Sapphire,Frontside Overcoating,1512.0,504.0
1008,Sapphire,Clean & Classify,504.0,696.0
1008,Sapphire,MAC,1632.0,1656.0
1008,Sapphire,LastTouchups,1656.0,1656.0
1008,Sapphire,Cure Times.ShipCureDate,1656.0,1680.0
1009,Sapphire,Fit-Check,384.0,408.0
1009,Sapphire,Bonded,408.0,456.0
1009,Sapphire,Vacuum,456.0,480.0
1009,Sapphire,Post Bond Clean,480.0,480.0
1009,Sapphire,Clean & Classify,528.0,648.0
1009,Sapphire,MAC,1560.0,1632.0
1009,Sapphire,LastTouchups,1632.0,1584.0
1009,Sapphire,Cure Times.ShipCureDate,1584.0,1752.0
1010,Sapphire,Fit-Check,744.0,408.0
1010,Sapphire,Bonded,456.0,480.0
1010,Sapphire,Vacuum,480.0,528.0
1010,Sapphire,Post Bond Clean,528.0,528.0
1010,Sapphire,Pre-CICRW,1512.0,1536.0
1010,Sapphire,Frontside Overcoating,1536.0,576.0
1010,Sapphire,Clean & Classify,576.0,648.0
1010,Sapphire,MAC,1656.0,1656.0
1010,Sapphire,LastTouchups,1656.0,1656.0
1010,Sapphire,Cure Times.ShipCureDate,1656.0,1680.0
1011,Sapphire,Fit-Check,744.0,408.0
1011,Sapphire,Bonded,456.0,480.0
1011,Sapphire,Vacuum,480.0,528.0
1011,Sapphire,Post Bond Clean,528.0,672.0
1011,Sapphire,Clean & Classify,576.0,720.0
1011,Sapphire,MAC,1560.0,1632.0
1011,Sapphire,LastTouchups,1632.0,1656.0
1011,Sapphire,Cure Times.ShipCureDate,1656.0,888.0
1012,Sapphire,Fit-Check,744.0,408.0
1012,Sapphire,Bonded,456.0,480.0
1012,Sapphire,Vacuum,480.0,528.0
1012,Sapphire,Post Bond Clean,528.0,528.0
1012,Sapphire,Pre-CICRW,1512.0,1536.0
1012,Sapphire,Frontside Overcoating,1536.0,576.0
1012,Sapphire,Clean & Classify,576.0,672.0
1012,Sapphire,MAC,1800.0,1800.0
1012,Sapphire,LastTouchups,1800.0,1992.0
1012,Sapphire,Cure Times.ShipCureDate,1992.0,1968.0
1013,Sapphire,Fit-Check,744.0,408.0
1013,Sapphire,Bonded,456.0,504.0
1013,Sapphire,Vacuum,504.0,528.0
1013,Sapphire,Post Bond Clean,528.0,528.0
1013,Sapphire,Clean & Classify,576.0,744.0
1013,Sapphire,MAC,1560.0,1584.0
1013,Sapphire,LastTouchups,1584.0,1584.0
1013,Sapphire,Cure Times.ShipCureDate,1584.0,1752.0
1014,Sapphire,Fit-Check,744.0,408.0
1014,Sapphire,Bonded,456.0,504.0
1014,Sapphire,Vacuum,504.0,528.0
1014,Sapphire,Post Bond Clean,528.0,528.0
1014,Sapphire,Clean & Classify,624.0,744.0
1014,Sapphire,MAC,1560.0,1584.0
1014,Sapphire,LastTouchups,1584.0,1584.0
1014,Sapphire,Cure Times.ShipCureDate,1584.0,1752.0
1015,Sapphire,Fit-Check,792.0,408.0
1015,Sapphire,Bonded,504.0,504.0
1015,Sapphire,Vacuum,504.0,528.0
1015,Sapphire,Post Bond Clean,528.0,528.0
1015,Sapphire,Pre-CICRW,1704.0,1752.0
1015,Sapphire,Frontside Overcoating,1752.0,624.0
1015,Sapphire,Clean & Classify,624.0,792.0
1015,Sapphire,MAC,1584.0,1584.0
1015,Sapphire,LastTouchups,1584.0,1584.0
1015,Sapphire,Cure Times.ShipCureDate,1584.0,1920.0
1016,Sapphire,Fit-Check,528.0,408.0
1016,Sapphire,Bonded,504.0,528.0
1016,Sapphire,Vacuum,528.0,552.0
1016,Sapphire,Post Bond Clean,552.0,576.0
1016,Sapphire,Pre-CICRW,2400.0,2472.0
1016,Sapphire,Frontside Overcoating,2472.0,624.0
1016,Sapphire,Clean & Classify,624.0,792.0
1016,Sapphire,MAC,2520.0,2520.0
1016,Sapphire,LastTouchups,2520.0,2520.0
1016,Sapphire,Cure Times.ShipCureDate,2520.0,2688.0
1017,Sapphire,Fit-Check,504.0,504.0
1017,Sapphire,Bonded,504.0,528.0
1017,Sapphire,Vacuum,528.0,552.0
1017,Sapphire,Post Bond Clean,552.0,576.0
1017,Sapphire,Pre-CICRW,1488.0,1512.0
1017,Sapphire,Frontside Overcoating,1512.0,624.0
1017,Sapphire,Clean & Classify,624.0,696.0
1017,Sapphire,MAC,1632.0,1632.0
1017,Sapphire,LastTouchups,1632.0,1632.0
1017,Sapphire,Cure Times.ShipCureDate,1632.0,1848.0
1018,Sapphire,Fit-Check,504.0,504.0
1018,Sapphire,Bonded,504.0,528.0
1018,Sapphire,Vacuum,528.0,552.0
1018,Sapphire,Post Bond Clean,552.0,576.0
1018,Sapphire,Pre-CICRW,1512.0,1536.0
1018,Sapphire,Frontside Overcoating,1536.0,624.0
1018,Sapphire,Clean & Classify,624.0,672.0
1018,Sapphire,MAC,1656.0,1656.0
1018,Sapphire,LastTouchups,1656.0,1656.0
1018,Sapphire,Cure Times.ShipCureDate,1656.0,1824.0
1019,Sapphire,Fit-Check,528.0,504.0
1019,Sapphire,Bonded,528.0,552.0
1019,Sapphire,Vacuum,552.0,576.0
1019,Sapphire,Post Bond Clean,576.0,576.0
1019,Sapphire,Pre-CICRW,2400.0,2472.0
1019,Sapphire,Frontside Overcoating,2472.0,648.0
1019,Sapphire,Clean & Classify,648.0,792.0
1019,Sapphire,MAC,2496.0,2496.0
1019,Sapphire,LastTouchups,2496.0,2496.0
1019,Sapphire,Cure Times.ShipCureDate,2496.0,2664.0
1020,Sapphire,Fit-Check,528.0,504.0
1020,Sapphire,Bonded,528.0,552.0
1020,Sapphire,Vacuum,552.0,576.0
1020,Sapphire,Post Bond Clean,576.0,576.0
1020,Sapphire,Pre-CICRW,2424.0,2472.0
1020,Sapphire,Frontside Overcoating,2472.0,648.0
1020,Sapphire,Clean & Classify,648.0,720.0
1020,Sapphire,MAC,2520.0,2520.0
1020,Sapphire,LastTouchups,2520.0,2520.0
1020,Sapphire,Cure Times.ShipCureDate,2520.0,2688.0
1021,Sapphire,Fit-Check,552.0,504.0
1021,Sapphire,Bonded,528.0,552.0
1021,Sapphire,Vacuum,552.0,576.0
1021,Sapphire,Post Bond Clean,576.0,576.0
1021,Sapphire,Pre-CICRW,2400.0,2472.0
1021,Sapphire,Frontside Overcoating,2472.0,648.0
1021,Sapphire,Clean & Classify,648.0,1152.0
1021,Sapphire,MAC,2496.0,2520.0
1021,Sapphire,LastTouchups,2520.0,2520.0
1021,Sapphire,Cure Times.ShipCureDate,2520.0,2712.0
